City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI
Amaravati,1/11/2019,121.81,193.4,11.17,100.16,62.36,8.62,0.96,10.56,24.73,0.1,0.15,0.1,302
Amaravati,1/12/2019,99.69,157.03,5.83,71.61,42.84,15.19,0.5,10.52,24.22,0.08,0.08,0.1,257
Amaravati,1/13/2019,92.66,146.49,4.86,57.32,34.44,17.36,0.64,12.33,25.51,0.07,0.18,0.1,212
Amaravati,1/14/2019,116.99,172.92,2.91,58.43,33.44,17.38,0.44,12.91,26.84,0.1,0.12,0.1,256
Amaravati,1/15/2019,120.33,182.65,5.68,60.37,36.74,17.46,1.02,26.39,21.83,0.08,0.14,0.11,301
Amaravati,1/16/2019,108.43,159.44,3.49,50.62,29.77,17.97,0.7,6.49,24.73,0.08,0.13,0.1,274
Amaravati,1/17/2019,118,174.01,3.46,58.6,33.99,16.97,0.82,13.73,24.69,0.1,0.18,0.1,262
Amaravati,1/18/2019,107.94,163.17,5.64,63.17,38.2,18.79,0.8,26.75,21.59,0.08,0.15,0.1,287
Amaravati,1/19/2019,108.34,173.27,13.44,61.22,43.49,22.53,0.72,11.71,23.64,0.09,0.13,0.1,262
Amaravati,1/20/2019,96.45,159.1,17.23,71.77,52.18,17.22,0.91,16,22.52,0.07,0.11,0.1,242
Amaravati,1/21/2019,90.25,141.29,7.53,64.26,40.3,18.38,0.55,14.8,25.31,0.06,0.09,,204
Amaravati,1/22/2019,100.34,165.55,20.01,60.14,48.26,20.43,0.85,13.57,24.82,0.06,0.08,0.1,230
Amaravati,1/23/2019,62.75,117.55,4.15,49.18,29.54,21.17,0.55,13.17,28.15,0.02,0.02,,171
Amaravati,1/24/2019,62.74,108.94,6.36,43.14,28.2,20.36,0.87,11.48,20.37,0.04,0.04,0.1,113
Amaravati,1/25/2019,34.51,63.23,3.87,38.2,23.52,21.38,0.72,12.19,17.24,0.02,0.01,,96
Amaravati,1/26/2019,15.12,40.61,2.65,22.75,14.26,22.92,0.38,8.37,19.39,0,0.02,,56
Amaravati,1/27/2019,27.25,49.07,2.38,27.55,16.59,22.29,0.44,11.04,19.68,0.02,0.06,,48
Amaravati,1/28/2019,51.67,70.71,5.29,55.79,34.06,17.58,1.28,15.66,20.15,0.06,0.12,0.11,91
Amaravati,1/29/2019,54.24,87.78,5.5,56.1,34.39,17.76,0.98,27.99,25.38,0.04,0.05,0.1,96
Amaravati,1/30/2019,47.81,99.22,5.98,65.34,39.69,17.61,1.02,26.84,36.53,0.03,0.08,0.15,111
Amaravati,1/31/2019,84.99,137.17,5.14,71.78,42.43,12.16,1.39,15.58,47.94,0.07,0.14,0.1,143
Amaravati,2/1/2019,63.05,111.15,5.4,68.18,40.73,15.31,1.06,13.42,47.46,0.06,0.36,0.11,141
Amaravati,2/2/2019,71.09,128.56,29.13,85.01,68.98,14.32,1.15,10.68,40.2,0.06,0.1,0.1,130
Amaravati,2/3/2019,76.78,129.54,6.08,69.13,41.71,13.58,1.27,17.71,48.7,0.06,0.1,,149
Amaravati,2/4/2019,73.21,129.76,3.04,61.14,35.07,15.38,1.11,16.63,62.74,0.08,0.14,0.1,150
Amaravati,2/5/2019,81.64,146.56,13.08,83.44,55.08,14.61,1.58,12.92,43.18,0.08,0.19,0.1,159
Amaravati,2/6/2019,81.71,142.46,15.23,74.7,49.36,10.83,1.03,18.7,37.16,0.07,0.09,0.1,178
Amaravati,2/7/2019,75.52,125.82,7.69,25.85,20.1,10.97,0.74,12.37,32.23,0.05,0.06,0.1,159
Amaravati,2/8/2019,58.02,96.18,2.61,16.37,10.79,17.41,0.76,8.47,38.97,0,0,,126
Amaravati,2/9/2019,65.56,128.56,6.38,23.26,17.36,16.81,0.86,16.7,34.16,0.01,0.05,0.14,115
Amaravati,2/10/2019,56.98,148.8,1.02,16.86,9.76,13.91,0.52,10.21,32.14,0.01,0.06,,136
Amaravati,2/11/2019,74.5,119.5,3.19,17.12,11.14,16.46,0.66,10.22,39.91,0.01,0.02,,131
Amaravati,2/12/2019,66.61,121.81,4.03,26.18,17.28,13.97,0.66,9.84,39.63,0.02,0.05,,137
Amaravati,2/13/2019,70.86,142.17,3.01,28.42,17.6,14.9,0.74,10.43,41.96,0.06,0.1,0.1,121
Amaravati,2/14/2019,69.96,130.91,15.49,35.52,31.56,16.42,0.84,9.78,37.99,0.05,0.08,0.11,157
Amaravati,2/15/2019,60.11,101.22,2.29,22.82,13.91,16.94,0.7,6.98,40.95,0.02,0.02,0.1,116
Amaravati,2/16/2019,33.9,64.61,2.59,15.97,10.54,14.52,0.55,7.78,32.91,0,0.01,,87
Amaravati,2/17/2019,31.75,58.96,1.38,13.31,8.16,12.92,0.54,13.52,27.85,0,0.01,,58
Amaravati,2/18/2019,34.8,72.77,7.55,17.35,15.37,10.31,0.59,12.99,24.83,0,0,,74
Amaravati,2/19/2019,32.07,63.36,8.59,17.16,16.19,11.98,0.72,10.51,19.85,0,0,,90
Amaravati,2/20/2019,30.32,66.4,7.19,15.26,14.04,9.84,0.58,10.5,24.21,0,0.01,,61
Amaravati,2/21/2019,38.35,95.79,18.66,21.18,26.51,9.69,0.72,8.3,27.25,0,0.04,0.15,96
Amaravati,2/22/2019,36.92,106.73,26.53,25.18,35.05,10.43,0.64,14.78,30.4,0,0.04,0.1,96
Amaravati,2/23/2019,43.16,149.98,43.76,28.73,50.94,9.94,0.8,9.67,31.72,0.02,0.07,0.11,126
Amaravati,2/24/2019,42.51,121.35,18.77,24.64,28.36,13.1,0.53,14.5,35.13,0.02,0.05,0.12,131
Amaravati,2/25/2019,33.88,80.8,3.59,18.86,13.05,14.69,0.51,13.5,30.89,0,0.01,0.1,95
Amaravati,2/26/2019,22.47,52.83,3.89,12.56,9.93,11.9,0.46,11.27,19.85,0,0,,62
Amaravati,2/27/2019,14.78,39.26,2.82,8.15,6.69,9.17,0.4,10.43,23.58,0,0.01,,64
